iter	Passed	Remaining
0	144	144337
1	145	72831
2	147	49082
3	149	37108
4	150	29906
5	151	25134
6	153	21780
7	156	19402
8	159	17592
9	162	16120
10	165	14894
11	168	13864
12	171	13000
13	173	12246
14	177	11652
15	180	11106
16	183	10616
17	186	10175
18	189	9774
19	192	9425
20	195	9116
21	198	8825
22	201	8551
23	204	8306
24	207	8080
25	209	7866
26	212	7658
27	215	7471
28	218	7316
29	221	7165
30	224	7009
31	227	6876
32	230	6740
33	233	6621
34	236	6521
35	239	6407
36	242	6304
37	245	6206
38	248	6112
39	251	6031
40	254	5949
41	256	5860
42	258	5764
43	261	5674
44	263	5588
45	265	5501
46	267	5415
47	269	5335
48	270	5254
49	272	5170
50	273	5091
51	275	5015
52	276	4939
53	277	4866
54	279	4797
55	280	4728
56	281	4661
57	283	4598
58	284	4537
59	285	4479
60	287	4421
61	288	4366
62	289	4312
63	291	4260
64	292	4208
65	293	4158
66	295	4108
67	296	4060
68	297	4017
69	298	3971
70	300	3927
71	301	3883
72	302	3841
73	303	3800
74	304	3760
75	306	3724
76	307	3687
77	308	3649
78	310	3614
79	311	3579
80	312	3544
81	313	3510
82	314	3472
83	315	3441
84	316	3410
85	318	3380
86	319	3351
87	320	3323
88	321	3295
89	323	3267
90	324	3240
91	325	3214
92	326	3187
93	328	3162
94	329	3136
95	330	3111
96	331	3087
97	332	3064
98	334	3042
99	335	3020
100	336	2997
101	337	2975
102	339	2954
103	340	2933
104	341	2913
105	342	2891
106	344	2872
107	345	2850
108	346	2831
109	347	2813
110	349	2795
111	350	2778
112	351	2760
113	352	2742
114	354	2725
115	355	2708
116	356	2689
117	357	2673
118	358	2656
119	360	2640
120	361	2625
121	362	2607
122	363	2592
123	364	2576
124	365	2561
125	367	2547
126	368	2531
127	369	2516
128	370	2503
129	372	2490
130	373	2479
131	375	2466
132	376	2453
133	377	2441
134	379	2429
135	380	2417
136	381	2405
137	383	2394
138	384	2382
139	385	2370
140	387	2358
141	387	2343
142	389	2331
143	390	2321
144	391	2310
145	393	2299
146	394	2288
147	395	2277
148	396	2266
149	398	2256
150	399	2245
151	400	2234
152	401	2225
153	403	2214
154	404	2204
155	405	2193
156	406	2183
157	407	2173
158	409	2163
159	410	2154
160	411	2142
161	412	2133
162	413	2124
163	414	2114
164	415	2105
165	416	2094
166	418	2085
167	419	2076
168	420	2067
169	421	2058
170	422	2049
171	424	2041
172	425	2032
173	426	2024
174	427	2016
175	428	2007
176	430	1999
177	431	1990
178	432	1982
179	433	1975
180	434	1967
181	436	1960
182	437	1952
183	438	1945
184	439	1937
185	441	1930
186	442	1922
187	443	1915
188	444	1908
189	446	1901
190	447	1894
191	448	1887
192	449	1881
193	451	1874
194	452	1867
195	453	1861
196	454	1854
197	456	1847
198	457	1841
199	458	1834
200	459	1828
201	461	1822
